enhancement,metric,direction_fake,threshold,accuracy,tpr_fake,tnr_real,youden
black-tophat,A_autocorr_peak,<,0.7486098300503446,0.7999999999999601,0.59999999999994,0.9999999999999,0.59999999999984
black-tophat,A_autocorr_tau,<,4.0,0.5499999999999725,0.9999999999999,0.09999999999999,0.09999999999988995
black-tophat,A_fft_peakiness_1d,<,433.75159832200234,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
black-tophat,A_cepstrum_peak,<,0.12860827040563397,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
black-tophat,A_cepstrum_q,<,3.0,0.7999999999999601,0.79999999999992,0.79999999999992,0.59999999999984
black-tophat,C_autocorr_peak,<,0.357478816610773,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
black-tophat,C_autocorr_tau,>,2.0,0.6499999999999676,0.49999999999995,0.79999999999992,0.2999999999998699
black-tophat,C_fft_peakiness_1d,<,39.45327390192578,0.7999999999999601,0.59999999999994,0.9999999999999,0.59999999999984
black-tophat,C_cepstrum_peak,<,0.02798627683047973,0.7999999999999601,0.59999999999994,0.9999999999999,0.59999999999984
black-tophat,C_cepstrum_q,>,2.0,0.7999999999999601,0.89999999999991,0.69999999999993,0.59999999999984
black-tophat,Lap_acf2d_peak_ratio,<,0.3477873387822531,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
black-tophat,Lap_spectral_peakiness_topk_over_median,>,128.64773165337832,0.6999999999999651,0.49999999999995,0.89999999999991,0.39999999999986
black-tophat,Lap_spectral_entropy_norm,<,0.8982210453267137,0.6499999999999676,0.39999999999996,0.89999999999991,0.2999999999998699
black-tophat,Lap_spectral_flatness,<,0.3443127557472627,0.6499999999999676,0.39999999999996,0.89999999999991,0.2999999999998699
black-tophat,Lap_orientation_coherence,>,1.6221851110458374,0.6999999999999651,0.39999999999996,0.9999999999999,0.39999999999986
black-tophat,Lap_wavelet_dir_ratio,<,0.40114376804692087,0.6499999999999676,0.89999999999991,0.39999999999996,0.2999999999998699
black-tophat,Lap_row_banding_psd_peak,>,0.5737572325772221,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
black-tophat,Lap_col_banding_psd_peak,<,0.20036567578433864,0.6499999999999676,0.29999999999997,0.9999999999999,0.2999999999998699
black-tophat,FINAL_combo_score,>,26.204041352115365,0.6999999999999651,0.49999999999995,0.89999999999991,0.39999999999986
black-tophat,tau_min,<,2.0,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
black-tophat,tau_max_frac,<,0.25,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
granulometry,A_autocorr_peak,<,0.6717286506392517,0.7499999999999626,0.59999999999994,0.89999999999991,0.4999999999998499
granulometry,A_autocorr_tau,<,2.0,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
granulometry,A_fft_peakiness_1d,<,177.9586892684993,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
granulometry,A_cepstrum_peak,<,0.1101171968609344,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
granulometry,A_cepstrum_q,>,2.0,0.5499999999999725,0.09999999999999,0.9999999999999,0.09999999999988995
granulometry,C_autocorr_peak,<,0.3934029333046304,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
granulometry,C_autocorr_tau,>,2.0,0.59999999999997,0.29999999999997,0.89999999999991,0.19999999999988005
granulometry,C_fft_peakiness_1d,<,44.85949282564634,0.7499999999999626,0.59999999999994,0.89999999999991,0.4999999999998499
granulometry,C_cepstrum_peak,<,0.024819882967560866,0.6999999999999651,0.59999999999994,0.79999999999992,0.39999999999986
granulometry,C_cepstrum_q,>,9.0,0.6499999999999676,0.49999999999995,0.79999999999992,0.2999999999998699
granulometry,Lap_acf2d_peak_ratio,<,0.23817614636623408,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
granulometry,Lap_spectral_peakiness_topk_over_median,<,70.57268696913225,0.7999999999999601,0.79999999999992,0.79999999999992,0.59999999999984
granulometry,Lap_spectral_entropy_norm,>,0.9247910912623469,0.8499999999999576,0.69999999999993,0.9999999999999,0.6999999999998301
granulometry,Lap_spectral_flatness,>,0.4313553714960785,0.8499999999999576,0.69999999999993,0.9999999999999,0.6999999999998301
granulometry,Lap_orientation_coherence,<,1.638980507850647,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
granulometry,Lap_wavelet_dir_ratio,<,0.42722989864577937,0.6999999999999651,0.39999999999996,0.9999999999999,0.39999999999986
granulometry,Lap_row_banding_psd_peak,>,0.571716795471795,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
granulometry,Lap_col_banding_psd_peak,>,0.3352214769755713,0.6499999999999676,0.89999999999991,0.39999999999996,0.2999999999998699
granulometry,FINAL_combo_score,<,12.018472988653803,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
granulometry,tau_min,<,2.0,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
granulometry,tau_max_frac,<,0.25,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
reconstruction,A_autocorr_peak,<,0.9693200540398698,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
reconstruction,A_autocorr_tau,<,2.0,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
reconstruction,A_fft_peakiness_1d,<,30604.086281197608,0.7499999999999626,0.79999999999992,0.69999999999993,0.4999999999998499
reconstruction,A_cepstrum_peak,>,0.168189208622446,0.59999999999997,0.69999999999993,0.49999999999995,0.19999999999988005
reconstruction,A_cepstrum_q,<,3.0,0.59999999999997,0.89999999999991,0.29999999999997,0.19999999999988005
reconstruction,C_autocorr_peak,<,0.42102542862326714,0.7999999999999601,0.79999999999992,0.79999999999992,0.59999999999984
reconstruction,C_autocorr_tau,>,3.0,0.6499999999999676,0.29999999999997,0.9999999999999,0.2999999999998699
reconstruction,C_fft_peakiness_1d,<,168.83253045188167,0.7499999999999626,0.89999999999991,0.59999999999994,0.4999999999998499
reconstruction,C_cepstrum_peak,<,0.04583708727943671,0.7499999999999626,0.59999999999994,0.89999999999991,0.4999999999998499
reconstruction,C_cepstrum_q,>,2.0,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
reconstruction,Lap_acf2d_peak_ratio,<,0.3198493234107357,0.6999999999999651,0.49999999999995,0.89999999999991,0.39999999999986
reconstruction,Lap_spectral_peakiness_topk_over_median,>,120.66845543716585,0.7499999999999626,0.59999999999994,0.89999999999991,0.4999999999998499
reconstruction,Lap_spectral_entropy_norm,<,0.8926284767059672,0.6999999999999651,0.49999999999995,0.89999999999991,0.39999999999986
reconstruction,Lap_spectral_flatness,<,0.355882222067978,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
reconstruction,Lap_orientation_coherence,<,1.584847092628479,0.6999999999999651,0.59999999999994,0.79999999999992,0.39999999999986
reconstruction,Lap_wavelet_dir_ratio,<,0.39275381059303854,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
reconstruction,Lap_row_banding_psd_peak,>,0.527692749227258,0.7499999999999626,0.59999999999994,0.89999999999991,0.4999999999998499
reconstruction,Lap_col_banding_psd_peak,<,0.48058776341656095,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
reconstruction,FINAL_combo_score,>,24.657585255753357,0.7499999999999626,0.59999999999994,0.89999999999991,0.4999999999998499
reconstruction,tau_min,<,2.0,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
reconstruction,tau_max_frac,<,0.25,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
white-tophat,A_autocorr_peak,<,0.7533863094559439,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
white-tophat,A_autocorr_tau,<,4.0,0.5499999999999725,0.9999999999999,0.09999999999999,0.09999999999988995
white-tophat,A_fft_peakiness_1d,<,273.934633639562,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
white-tophat,A_cepstrum_peak,<,0.0667455420531297,0.59999999999997,0.29999999999997,0.89999999999991,0.19999999999988005
white-tophat,A_cepstrum_q,>,4.0,0.59999999999997,0.19999999999998,0.9999999999999,0.19999999999988005
white-tophat,C_autocorr_peak,<,0.37660046377965034,0.8499999999999576,0.79999999999992,0.89999999999991,0.6999999999998301
white-tophat,C_autocorr_tau,>,3.0,0.6999999999999651,0.59999999999994,0.79999999999992,0.39999999999986
white-tophat,C_fft_peakiness_1d,<,132.20458962258468,0.6999999999999651,0.79999999999992,0.59999999999994,0.39999999999986
white-tophat,C_cepstrum_peak,<,0.04526241944392993,0.7999999999999601,0.69999999999993,0.89999999999991,0.59999999999984
white-tophat,C_cepstrum_q,>,4.0,0.7999999999999601,0.89999999999991,0.69999999999993,0.59999999999984
white-tophat,Lap_acf2d_peak_ratio,<,0.3365607348071261,0.7499999999999626,0.69999999999993,0.79999999999992,0.4999999999998499
white-tophat,Lap_spectral_peakiness_topk_over_median,>,120.17705464614708,0.59999999999997,0.29999999999997,0.89999999999991,0.19999999999988005
white-tophat,Lap_spectral_entropy_norm,>,0.9188657010426161,0.6999999999999651,0.39999999999996,0.9999999999999,0.39999999999986
white-tophat,Lap_spectral_flatness,>,0.417490529589511,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
white-tophat,Lap_orientation_coherence,>,1.662794589996338,0.59999999999997,0.19999999999998,0.9999999999999,0.19999999999988005
white-tophat,Lap_wavelet_dir_ratio,<,0.3827657792388951,0.6499999999999676,0.69999999999993,0.59999999999994,0.29999999999987015
white-tophat,Lap_row_banding_psd_peak,>,0.5641129121409795,0.7499999999999626,0.49999999999995,0.9999999999999,0.4999999999998499
white-tophat,Lap_col_banding_psd_peak,<,0.46590341542263863,0.6499999999999676,0.59999999999994,0.69999999999993,0.29999999999987015
white-tophat,FINAL_combo_score,>,24.5224680390897,0.59999999999997,0.29999999999997,0.89999999999991,0.19999999999988005
white-tophat,tau_min,<,2.0,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
white-tophat,tau_max_frac,<,0.25,0.499999999999975,0.0,0.9999999999999,-1.000310945187266e-13
